epoch,train_loss,train_acc,eval_loss,eval_acc,eval_acc_top5,lr,best_eval_acc
0,4.1909437963972875,4.748376623376624,3.9245337762895205,8.294283036551077,25.820056232427365,0.0005,8.294283036551077
1,3.630861670423896,11.066017316017316,3.8143368035471092,11.34020618556701,33.786316776007496,0.0004996573836886434,11.34020618556701
2,3.326372696723773,15.854978354978355,3.536017924239955,15.83880037488285,43.95501405810684,0.0004986304738420682,15.83880037488285
3,3.006145977354669,21.78030303030303,3.357384332006181,19.915651358950328,47.93814432989691,0.0004969220851487844,19.915651358950328
4,2.7622991516476585,26.542207792207794,3.3815163444333134,21.97750702905342,51.59325210871603,0.0004945369001834514,21.97750702905342
5,3.821866735493466,25.229978354978353,3.0260091384326393,23.80506091846298,54.170571696344894,0.0004914814565722671,23.80506091846298
6,3.3762908456645486,30.14069264069264,3.067719911568167,26.19493908153702,56.935332708528584,0.00048776412907378846,26.19493908153702
7,3.060449508361486,34.65909090909091,2.752022096511909,29.756326148078724,64.57357075913777,0.00048339510662430044,29.756326148078724
8,2.855064076004606,37.702922077922075,2.8554464521090783,30.927835051546392,64.7610121836926,0.0004783863644106502,30.927835051546392
9,2.5974469130689446,42.32954545454545,3.11496245023125,32.239925023430175,65.22961574507966,0.00047275163104709196,32.239925023430175
10,2.4623527586202085,45.887445887445885,2.4846112140451733,38.050609184629806,70.99343955014058,0.00046650635094610973,38.050609184629806
11,2.272206985331201,51.28517316017316,2.445408161376946,41.14339268978444,71.97750702905343,0.00045966764198635603,41.14339268978444
12,2.1086327652910573,55.34361471861472,2.570491088140536,38.47235238987816,73.52389878163073,0.0004522542485937369,41.14339268978444
13,2.0245270042708428,57.129329004329,2.5737989586764893,41.23711340206186,72.96157450796626,0.00044428649036424276,41.23711340206186
14,1.8925423748565442,61.01190476190476,2.4660991386710314,42.970946579194,73.47703842549204,0.0004357862063693486,42.970946579194
15,1.7962561443254546,63.10876623376623,2.261249700604808,47.1883786316776,76.24179943767572,0.0004267766952966369,47.1883786316776
