epoch,train_loss,train_acc,eval_loss,eval_acc,eval_acc_top5,lr,best_eval_acc
0,4.266222845833257,5.14937106918239,4.645915570575646,6.006322444678609,20.916754478398314,0.0005,6.006322444678609
1,3.74873564078373,11.923480083857442,3.3349712276860712,15.911485774499473,43.4668071654373,0.0004996573836886434,15.911485774499473
2,3.487091862180698,17.11215932914046,2.989490299757464,20.969441517386723,54.531085353003164,0.0004986304738420682,20.969441517386723
3,3.242127895855054,22.02568134171908,2.649972161452813,28.292939936775554,62.644889357218126,0.0004969220851487844,28.292939936775554
4,2.9734077363644005,27.830188679245282,2.3843260831400768,36.19599578503688,69.49420442571127,0.0004945369001834514,36.19599578503688
5,2.7494629449064627,33.11058700209644,2.1565769482462875,41.0958904109589,74.3940990516333,0.0004914814565722671,41.0958904109589
6,2.5530387570523114,38.92819706498952,2.0316960021492303,43.308746048472074,78.08219178082192,0.00048776412907378846,43.308746048472074
7,2.353196206832582,44.10377358490566,1.8778339057878146,48.419388830347735,81.45416227608008,0.00048339510662430044,48.419388830347735
8,2.201656472258098,47.9559748427673,1.5987896093955407,54.89989462592202,86.45943097997892,0.0004783863644106502,54.89989462592202
9,2.036387251358112,53.288784067085956,1.494722284054731,58.16649104320337,87.67123287671232,0.00047275163104709196,58.16649104320337
10,1.9068273875698354,57.18029350104822,1.337014520758698,63.487881981032665,88.77766069546891,0.00046650635094610973,63.487881981032665
11,1.8012364085615307,60.678721174004195,1.185767021520874,66.70179135932561,90.56902002107482,0.00045966764198635603,66.70179135932561
12,1.6963982742037662,63.78406708595388,1.1728723218744999,67.43940990516333,91.6754478398314,0.0004522542485937369,67.43940990516333
13,1.6004922150066063,66.67976939203355,1.2365654468285145,65.06849315068493,89.67334035827187,0.00044428649036424276,67.43940990516333
14,1.4986566457608461,70.20440251572327,1.2605395154405319,66.0695468914647,88.61959957850368,0.0004357862063693486,67.43940990516333
15,1.4482941395081814,70.78092243186583,0.8595910760072561,74.86828240252898,94.25711275026343,0.0004267766952966369,74.86828240252898
16,1.3657117609707814,73.833857442348,0.830151373016068,77.23919915700738,94.73129610115912,0.0004172826515897146,77.23919915700738
17,1.2958072177769002,76.13993710691824,0.8005276760135486,77.87144362486828,94.6259220231823,0.0004073300977624594,77.87144362486828
18,1.2366151232389535,77.96121593291404,0.7552121343803607,79.55742887249737,95.46891464699684,0.0003969463130731183,79.55742887249737
19,1.1984630280820578,79.74318658280923,0.6596127342436663,82.87671232876713,96.57534246575342,0.0003861597587537568,82.87671232876713
20,1.1117718662106015,82.58647798742139,0.6900961922895795,80.50579557428873,96.04847207586934,0.000375,82.87671232876713
21,1.0888432009415057,83.00576519916143,0.5867669682388437,84.24657534246575,96.25922023182297,0.00036349762493488667,84.24657534246575
22,1.0368507671906013,85.53459119496856,0.6184086805274288,82.61327713382508,96.25922023182297,0.0003516841607689501,84.24657534246575
23,0.9958206367692608,86.229035639413,0.5722626778360915,84.87881981032666,96.57534246575342,0.00033959198738632514,84.87881981032666
24,0.9591639521736769,87.53930817610063,0.5067517370990506,86.19599578503689,97.52370916754478,0.00032725424859373687,86.19599578503689
