epoch,train_loss,train_acc,test_loss,test_acc,test_acc_top5,lr,best_acc
0,4.23958104608843,5.222315436241611,3.9974927179970314,7.1636267512556175,26.381178958498545,0.0006,7.1636267512556175
1,3.7761665086618206,12.961409395973154,3.5048479629892726,13.851440655564367,38.96378535553793,0.000599588860426372,13.851440655564367
2,3.5127086799416767,18.131291946308725,3.171988404493561,20.644990748083533,48.90298704731694,0.0005983565686104819,20.644990748083533
3,3.273535714453499,24.538590604026847,2.9610514707613205,25.323817076394395,55.85514142215173,0.0005963065021785413,25.323817076394395
4,3.031416369764597,31.270973154362416,2.6565387289328073,31.377213851440654,63.65318530266984,0.0005934442802201416,31.377213851440654
5,3.1672295031931577,33.61996644295302,2.5458118778796477,34.68146973301612,67.96193497224425,0.0005897777478867204,34.68146973301612
6,2.867381467915221,36.92323825503356,2.533606428713071,34.78720592122654,69.49510970129526,0.0005853169548885461,34.78720592122654
7,2.5117371872367475,41.60025167785235,2.2409373085996065,40.840602696272796,74.72905101771082,0.0005800741279491605,40.840602696272796
8,2.354842960034441,46.50796979865772,2.3020071188923925,41.26354744911446,74.94052339413165,0.0005740636372927802,41.26354744911446
9,2.1695135143779267,50.36703020134228,2.3505455999818077,41.02564102564103,75.3634681469733,0.0005673019572565103,41.26354744911446
10,2.0450177754731786,53.575922818791945,2.082602947816438,46.36531853026698,78.8263283108644,0.0005598076211353316,46.36531853026698
11,1.979922001593865,55.64177852348993,1.905849042311882,49.51097012952683,80.9939201691779,0.0005516011703836271,49.51097012952683
12,1.8708590733124906,59.689597315436245,1.974324334370469,48.850118953211734,80.14803066349458,0.0005427050983124841,49.51097012952683
13,1.7754731306293667,62.12248322147651,1.9017660388422175,52.365847211208035,82.3156225218081,0.0005331437884370911,52.365847211208035
14,1.6940077059220948,64.96434563758389,1.737169266566378,54.61274121067935,83.29368226275443,0.0005229434476432182,54.61274121067935
15,1.605698923136564,67.75377516778524,1.7074566501932047,55.45863071636268,84.5096484271742,0.0005121320343559641,55.45863071636268
16,1.5457877891775746,69.03313758389261,1.7348880680219352,56.91250330425588,85.2498017446471,0.0005007391819076574,56.91250330425588
17,1.496203760972759,71.63380872483222,1.688489981501814,57.09754163362411,84.72112080359503,0.0004887961173149512,57.09754163362411
18,1.4241702654617745,73.38506711409396,1.786006326055262,56.11948189267777,84.43034628601639,0.0004763355756877418,57.09754163362411
19,1.3745220604558919,74.85318791946308,1.6341472586846812,58.868622786148556,85.59344435633095,0.000463391710504508,58.868622786148556
20,1.3286418018725095,76.18498322147651,1.6150763504031849,59.63521015067407,87.258789320645,0.0004499999999999998,59.63521015067407
21,1.2745056698386301,78.18791946308725,1.592117259182881,59.97885276235792,86.33359767380387,0.00043619714992186386,59.97885276235792
22,1.2589105326657328,79.59312080536913,1.4954967979965088,61.353423209093314,87.86677240285488,0.00042202099292273996,61.353423209093314
23,1.2014938570909053,81.01929530201342,1.4432881679479452,63.12450436161777,87.91964049696008,0.00040751038486359003,63.12450436161777
24,1.174757677036644,81.99454697986577,1.481600096072591,63.23024054982818,87.70816812053926,0.0003927050983124841,63.23024054982818
25,1.1427659776386798,82.85444630872483,1.4777006038811482,62.19931271477663,86.86227861485594,0.0003776457135307561,63.23024054982818
26,1.0925627022781628,84.62667785234899,1.4594304693649598,62.78086174993391,88.10467882632831,0.00036237350724532764,63.23024054982818
