epoch,train_loss,train_acc,test_loss,test_acc,test_acc_top5,lr,best_acc
0,4.230212680445422,5.966862416107382,3.787955380923024,9.463388844832144,31.456515992598465,0.0005,9.463388844832144
1,3.7062224941765702,14.303691275167786,3.3836731390760213,15.543219666931007,45.17578641289982,0.0004996573836886434,15.543219666931007
2,3.4191598364170765,20.80536912751678,3.1478606707955867,20.539254559873118,52.52445149352366,0.0004986304738420682,20.539254559873118
3,3.1260448238193588,28.481543624161073,2.806839457397703,27.914353687549564,59.8466825270949,0.0004969220851487844,27.914353687549564
4,2.887919024333058,35.31879194630873,2.581379033445902,33.99418450964843,65.66217287866772,0.0004945369001834514,33.99418450964843
5,2.691202545726059,41.02348993288591,2.284446020779268,39.33386201427439,71.8213058419244,0.0004914814565722671,39.33386201427439
6,2.5103387400607935,46.86451342281879,2.2395787138867056,40.73486650806238,73.75099127676447,0.00048776412907378846,40.73486650806238
7,2.3512382233302866,52.63213087248322,2.123868819805733,44.67353951890034,75.3634681469733,0.00048339510662430044,44.67353951890034
8,2.6399467247444512,51.656879194630875,2.1235277413880733,45.519429024583665,75.86571504097277,0.0004783863644106502,45.519429024583665
9,2.2450987656644528,55.002097315436245,2.121433890751358,43.16679883690193,77.55749405233941,0.00047275163104709196,45.519429024583665
10,2.061521950984161,57.26719798657718,1.9462572483042073,48.506476341527886,80.43880518107322,0.00046650635094610973,48.506476341527886
11,1.9789119000802904,60.192953020134226,1.862012671850801,50.7269362939466,82.02484800422945,0.00045966764198635603,50.7269362939466
12,1.8562620328176742,63.10822147651007,1.9949422798363456,48.45360824742268,80.04229447528417,0.0004522542485937369,50.7269362939466
13,1.7406114153813996,65.37332214765101,1.8678930460256526,53.476077187417395,81.86624372191382,0.00044428649036424276,53.476077187417395
14,1.6645071568505077,67.25041946308725,1.8762274209135208,53.15886862278615,82.84430346286017,0.0004357862063693486,53.476077187417395
15,1.5631345501482086,70.59563758389261,1.7153767357104486,55.19429024583664,84.5625165212794,0.0004267766952966369,55.19429024583664
16,1.518758090750483,71.47651006711409,1.797589575743316,54.692043351837164,84.32461009780597,0.0004172826515897146,55.19429024583664
17,1.4531166585499808,74.38129194630872,1.6231778531738794,59.00079302141158,86.22786148559345,0.0004073300977624594,59.00079302141158
18,1.4020000640177888,76.0381711409396,1.7386149320846949,58.63071636267512,85.46127412106793,0.0003969463130731183,59.00079302141158
19,1.338860223157294,77.25461409395973,1.677334124153958,57.7583928099392,84.61538461538461,0.0003861597587537568,59.00079302141158
20,1.3196806714638767,79.76090604026845,1.7031514735061783,57.7319587628866,85.91065292096219,0.000375,59.00079302141158
21,1.256041575998268,80.40058724832215,1.6189784670266845,59.55590800951626,86.86227861485594,0.00036349762493488667,59.55590800951626
22,1.24088348018243,81.84773489932886,1.5212226965551556,62.146444620671424,87.15305313243458,0.0003516841607689501,62.146444620671424
23,1.17749276317206,82.60276845637584,1.4385977141478374,63.335976738038596,88.0782447792757,0.00033959198738632514,63.335976738038596
24,1.156216209166802,83.44169463087249,1.4431636717594902,63.28310864393339,87.73460216759186,0.00032725424859373687,63.335976738038596
25,1.1221359914181217,85.06711409395973,1.5174543469663717,62.648691514670894,87.10018503832937,0.00031470476127563017,63.335976738038596
26,1.0816239336593039,86.60864093959732,1.458836023939245,63.177372455722974,87.91964049696008,0.00030197792270443975,63.335976738038596
27,1.0533906370401382,87.40562080536913,1.4400861180399007,64.31403647898493,88.47475548506476,0.0002891086162600577,64.31403647898493
28,1.0101055629901439,87.95092281879195,1.4483435657205261,63.256674596880785,88.10467882632831,0.00027613211581691336,64.31403647898493
29,1.0068646241354462,88.59060402684564,1.3575798793977258,65.08062384351044,88.34258524980174,0.00026308398906073593,65.08062384351044
30,0.9915954005598222,89.75461409395973,1.3179343523186349,65.13349193761564,89.77002379064234,0.00025000000000000006,65.13349193761564
31,0.9663230988803326,89.92239932885906,1.4236890949838665,65.63573883161511,88.47475548506476,0.00023691601093926408,65.63573883161511
32,0.940363974879252,91.32760067114094,1.4062505467619304,64.86915146708961,88.31615120274914,0.00022386788418308668,65.63573883161511
33,0.9352253811471414,91.67365771812081,1.3483620969637216,65.5300026434047,88.65979381443299,0.0002108913837399423,65.63573883161511
34,0.9060145391513837,92.25041946308725,1.3241355748772778,66.69310071371928,89.24134284959027,0.00019802207729556018,66.69310071371928
35,0.9000197790013064,92.46015100671141,1.3660989091599898,66.66666666666667,88.81839809674861,0.00018529523872436987,66.69310071371928
36,0.8684263682405421,93.06837248322148,1.3325780501858506,65.66217287866772,89.4528152260111,0.0001727457514062632,66.69310071371928
37,0.8580245755662854,93.6241610738255,1.3008434724593458,67.14247951361354,89.98149616706317,0.00016040801261367496,67.14247951361354
38,0.8285582195592407,94.06459731543625,1.2786216780271538,67.85619878403384,90.00793021411579,0.00014831583923105002,67.85619878403384
39,0.8226995699157651,94.11703020134229,1.2853955978002303,67.77689664287603,89.79645783769494,0.00013650237506511334,67.85619878403384
40,0.823519185885487,95.10276845637584,1.2866987438388455,67.14247951361354,89.5056833201163,0.00012500000000000008,67.85619878403384
41,0.8184556541026838,95.16568791946308,1.2556196073990413,68.12053925455987,89.58498546127412,0.00011384024124624333,68.12053925455987
42,0.7924920057490368,95.54320469798658,1.2664456603201237,67.53899021940259,90.1136664023262,0.00010305368692688177,68.12053925455987
43,0.7784212856684756,95.66904362416108,1.2437765795246116,68.51704996034893,90.03436426116839,9.26699022375407e-05,68.51704996034893
44,0.7941781806465763,95.74244966442953,1.2307114573404836,68.3320116309807,90.29870473169443,8.271734841028555e-05,68.51704996034893
45,0.7676467808501032,96.06753355704699,1.2429475590503944,68.49061591329632,90.1136664023262,7.322330470336315e-05,68.51704996034893
46,0.7551543917631943,96.30872483221476,1.236101605606684,68.9928628072958,90.35157282579964,6.421379363065152e-05,68.9928628072958
47,0.7420199557438792,96.71770134228188,1.2294886934987268,69.17790113666402,90.35157282579964,5.5713509635757295e-05,69.17790113666402
48,0.7446687062514709,96.72818791946308,1.2180873354118462,69.09859899550621,90.56304520222047,4.774575140626318e-05,69.17790113666402
49,0.74137219876651,96.92743288590604,1.2147676520583304,69.38937351308485,90.37800687285224,4.0332358013644026e-05,69.38937351308485
50,0.718259677990971,96.85402684563758,1.211505637923908,69.28363732487443,89.95506212001057,3.349364905389033e-05,69.38937351308485
51,0.7298816310479337,97.18959731543625,1.2108780422003975,68.86069257203278,90.29870473169443,2.724836895290806e-05,69.38937351308485
52,0.7153301389025362,97.47273489932886,1.1994641153011378,69.15146708961142,90.45730901401005,2.161363558934976e-05,69.38937351308485
53,0.7189434517750004,97.63003355704699,1.192292743689668,69.36293946603224,90.72164948453609,1.6604893375699568e-05,69.38937351308485
54,0.727228386490137,97.18959731543625,1.2039536911754927,69.0721649484536,90.27227068464182,1.2235870926211619e-05,69.38937351308485
55,0.7204518282173464,97.35738255033557,1.2037914937808656,69.0721649484536,90.53661115516786,8.518543427732923e-06,69.38937351308485
56,0.7114573010062212,96.94840604026845,1.1970797165531095,69.49510970129526,90.51017710811526,5.463099816548579e-06,69.49510970129526
57,0.7068135037818211,97.45176174496645,1.1937484060240082,69.70658207771609,90.8009516256939,3.077914851215586e-06,69.70658207771609
58,0.7133496098670383,97.64052013422818,1.1939104856588902,69.62727993655828,90.45730901401005,1.3695261579316502e-06,69.70658207771609
59,0.696660697710194,97.3993288590604,1.2004836170313504,69.15146708961142,90.7745175786413,3.4261631135654184e-07,69.70658207771609
