epoch,train_loss,train_acc,test_loss,test_acc,test_acc_top5,lr,best_acc
0,4.193690089171365,5.662751677852349,3.8503748798950177,7.665873645255089,28.839545334390696,0.0005,7.665873645255089
1,3.6918094966235575,12.426593959731544,3.558519654383648,13.03198519693365,38.09146180280201,0.0004996573836886434,13.03198519693365
2,3.3472767904300817,19.693791946308725,3.0702018516264737,23.605604017975153,52.577319587628864,0.0004986304738420682,23.605604017975153
3,3.0383027551958226,26.24790268456376,2.852519375100011,26.883425852498018,57.57335448057098,0.0004969220851487844,26.883425852498018
4,2.7731515295153497,32.74958053691275,2.7163842430260963,31.562252180808883,62.59582342056569,0.0004945369001834514,31.562252180808883
5,3.1044836908378857,33.22147651006711,2.5316881652613215,33.86201427438541,68.64922019561195,0.0004914814565722671,33.86201427438541
6,2.704042305882345,38.68498322147651,2.5162655446317,35.34232090933122,68.86069257203278,0.00048776412907378846,35.34232090933122
7,2.394339162031276,42.533557046979865,2.38358026388427,37.53634681469733,71.21332275971452,0.00048339510662430044,37.53634681469733
8,2.2416026352235936,47.430788590604024,2.147895723998846,44.54136928363732,74.86122125297383,0.0004783863644106502,44.54136928363732
9,2.028010313742913,51.92953020134228,2.10386534887995,45.307956648162836,77.87470261697065,0.00047275163104709196,45.307956648162836
10,1.8964000893319213,55.34815436241611,1.9981886593399936,48.29500396510706,78.852762357917,0.00046650635094610973,48.29500396510706
11,1.807977956713446,58.43120805369127,1.8813081809272534,51.070578905630455,80.65027755749405,0.00045966764198635603,51.070578905630455
12,1.7092725713581047,62.05956375838926,1.9286577343594105,50.171821305841924,80.22733280465239,0.0004522542485937369,51.070578905630455
13,1.6090859371743746,65.28942953020135,1.967176481935671,52.20724292889241,81.25826063970393,0.00044428649036424276,52.20724292889241
14,1.527814991222132,67.26090604026845,1.7891575443092365,54.2162305048903,81.54903515728257,0.0004357862063693486,54.2162305048903
15,1.4324072373393397,69.79865771812081,1.7417546531336665,56.093047845625165,83.37298440391224,0.0004267766952966369,56.093047845625165
16,1.3791238731585893,71.59186241610739,1.7535077675984014,55.722971186888714,83.71662701559609,0.0004172826515897146,56.093047845625165
17,1.3178707287215548,74.06669463087249,1.6493915105792476,57.494052339413166,84.93259318001586,0.0004073300977624594,57.494052339413166
18,1.2597492304224296,75.9123322147651,1.8006373208381496,57.626222574676184,84.27174200370077,0.0003969463130731183,57.626222574676184
19,1.187575561888266,77.87332214765101,1.5878341894064067,59.00079302141158,84.80042294475284,0.0003861597587537568,59.00079302141158
20,1.1627918577834264,78.9114932885906,1.6707937468809329,59.05366111551679,84.64181866243722,0.000375,59.05366111551679
21,1.0985500555510488,80.35864093959732,1.5708411055017077,59.8466825270949,86.67724028548771,0.00036349762493488667,59.8466825270949
22,1.0866215643066688,81.83724832214764,1.5060497329816787,62.014274385408406,87.258789320645,0.0003516841607689501,62.014274385408406
23,1.0254895211066175,82.86493288590604,1.5367241778954797,61.644197726671955,85.98995506212,0.00033959198738632514,62.014274385408406
24,0.9911121527020563,83.90310402684564,1.443500039377699,63.49458102035422,87.2852233676976,0.00032725424859373687,63.49458102035422
25,0.96045168954254,85.19295302013423,1.454027242582373,62.12001057361882,86.88871266190854,0.00031470476127563017,63.49458102035422
26,0.9157080283300989,87.02810402684564,1.4527498578350915,63.70605339677505,86.75654242664552,0.00030197792270443975,63.70605339677505
27,0.9033561138898735,87.35318791946308,1.4282423401521749,64.26116838487972,87.70816812053926,0.0002891086162600577,64.26116838487972
