epoch,train_loss,train_acc,test_loss,test_acc,test_acc_top5,lr,best_acc
0,4.230212680445422,5.966862416107382,3.787955380923024,9.463388844832144,31.456515992598465,0.0005,9.463388844832144
1,3.7062224941765702,14.303691275167786,3.3836731390760213,15.543219666931007,45.17578641289982,0.0004996573836886434,15.543219666931007
2,3.4191598364170765,20.80536912751678,3.1478606707955867,20.539254559873118,52.52445149352366,0.0004986304738420682,20.539254559873118
3,3.1260448238193588,28.481543624161073,2.806839457397703,27.914353687549564,59.8466825270949,0.0004969220851487844,27.914353687549564
4,2.887919024333058,35.31879194630873,2.581379033445902,33.99418450964843,65.66217287866772,0.0004945369001834514,33.99418450964843
5,3.5169953207841655,36.69253355704698,2.5151624053425174,36.00317208564631,70.4203013481364,0.0004914814565722671,36.00317208564631
6,3.0786346237131412,38.464765100671144,2.4041421812676638,37.24557229711869,71.58339941845097,0.00048776412907378846,37.24557229711869
7,2.7245353770336047,44.35822147651007,2.4677871845085533,40.04758128469469,73.67168913560666,0.00048339510662430044,40.04758128469469
8,2.5595687037746377,47.16862416107382,2.4361528996087682,42.585249801744645,74.70261697065821,0.0004783863644106502,42.585249801744645
9,2.378485742031328,50.51384228187919,2.223084900986099,42.796722178165474,77.34602167591858,0.00047275163104709196,42.796722178165474
10,2.2439539762551353,54.25755033557047,2.0697313809628026,47.50198255352895,80.17446471054718,0.00046650635094610973,47.50198255352895
11,2.1583941062824836,56.480704697986575,1.9056322498356826,49.48453608247423,81.41686492201956,0.00045966764198635603,49.48453608247423
12,2.0249562903538645,60.622902684563755,2.0708946634971244,47.95136135342321,79.72508591065292,0.0004522542485937369,49.48453608247423
13,1.9096014935698284,62.520973154362416,2.052412455276683,50.462595823420564,81.36399682791435,0.00044428649036424276,50.462595823420564
14,1.8436970724755486,64.68120805369128,1.8978623868988647,53.37034099920698,81.7076394395982,0.0004357862063693486,53.37034099920698
15,1.7381956780316845,67.09312080536913,1.8503516399762696,54.189796457837694,82.87073750991277,0.0004267766952966369,54.189796457837694
16,1.6783507922351761,68.73951342281879,1.8501400429516157,55.03568596352102,83.66375892149088,0.0004172826515897146,55.03568596352102
17,1.6323721031814613,71.68624161073825,1.8530089298695003,55.6436690457309,83.55802273328047,0.0004073300977624594,55.6436690457309
18,1.5524419641134724,72.85025167785236,1.8006860057796525,57.203277821834526,84.43034628601639,0.0003969463130731183,57.203277821834526
19,1.5091282198293097,74.48615771812081,1.631255880632383,58.789320644990745,84.45678033306899,0.0003861597587537568,58.789320644990745
20,1.4553076264842244,76.5625,1.8182425342348558,57.044673539518904,85.38197197991012,0.000375,58.789320644990745
21,1.4072569536682744,77.4748322147651,1.6070110705867509,60.34892942109437,86.33359767380387,0.00036349762493488667,60.34892942109437
22,1.3921297327584068,79.06879194630872,1.5578224160763878,61.723499867829766,87.23235527359239,0.0003516841607689501,61.723499867829766
23,1.3203192599267768,80.43204697986577,1.4963754690610445,62.19931271477663,87.12661908538198,0.00033959198738632514,62.19931271477663
24,1.2892488999254752,81.28145973154362,1.4801789635928762,62.807295796986516,86.65080623843511,0.00032725424859373687,62.807295796986516
25,1.2560775194992155,83.28439597315436,1.5440743659937346,61.564895585514144,86.80941052075073,0.00031470476127563017,62.807295796986516
26,1.201783924894845,84.6371644295302,1.4789864147840717,62.62225746761829,87.76103621464446,0.00030197792270443975,62.807295796986516
27,1.1856847739459684,85.10906040268456,1.5207771984257146,62.62225746761829,87.76103621464446,0.0002891086162600577,62.807295796986516
28,1.1211087870717849,85.79068791946308,1.5318859784085694,62.727993655828705,87.62886597938144,0.00027613211581691336,62.807295796986516
29,1.131459062231467,86.51426174496645,1.413498652192483,65.23922812582606,88.18398096748612,0.00026308398906073593,65.23922812582606
30,1.1100135696614348,87.77265100671141,1.3739543393147928,64.73698123182659,89.08273856727465,0.00025000000000000006,65.23922812582606
31,1.0715831205148825,88.11870805369128,1.4808222645651938,65.34496431403647,89.08273856727465,0.00023691601093926408,65.34496431403647
32,1.0428371920481625,89.37709731543625,1.4052147585785393,65.18636003172085,88.97700237906423,0.00022386788418308668,65.34496431403647
33,1.0417042159594145,89.98531879194631,1.3847003026264482,65.5300026434047,89.29421094369548,0.0002108913837399423,65.5300026434047
34,1.015063794567281,90.7613255033557,1.333081922265168,66.93100713719271,89.4528152260111,0.00019802207729556018,66.93100713719271
35,1.0120304643907803,91.07592281879195,1.3724570895766506,65.97938144329896,89.10917261432725,0.00018529523872436987,66.93100713719271
36,0.9636282746823842,91.63171140939598,1.3741457626172358,66.32302405498282,89.58498546127412,0.0001727457514062632,66.93100713719271
37,0.9629162320954687,91.99874161073825,1.3334940510895275,66.8781390430875,90.060798308221,0.00016040801261367496,66.93100713719271
38,0.9212311746290066,92.49161073825503,1.2718464686793056,67.80333068992863,89.79645783769494,0.00014831583923105002,67.80333068992863
39,0.9211204510007128,92.99496644295301,1.3028342954513101,67.51255617234999,90.060798308221,0.00013650237506511334,67.80333068992863
40,0.9111747779702181,93.71854026845638,1.3204987940257609,66.98387523129792,89.69072164948453,0.00012500000000000008,67.80333068992863
41,0.9044051948409753,93.81291946308725,1.2730598965870965,68.25270948982289,89.34707903780068,0.00011384024124624333,68.25270948982289
42,0.8795046940345892,94.02265100671141,1.2898101681223504,68.01480306634946,90.00793021411579,0.00010305368692688177,68.25270948982289
43,0.8658152106624322,94.73573825503355,1.240668194179903,68.72852233676976,90.0872323552736,9.26699022375407e-05,68.72852233676976
44,0.8809496990386272,94.7881711409396,1.2696937345305102,68.09410520750727,90.24583663758922,8.271734841028555e-05,68.72852233676976
45,0.8540452557722195,95.00838926174497,1.250198984757448,67.69759450171821,90.32513877874703,7.322330470336315e-05,68.72852233676976
46,0.8414061613530921,95.60612416107382,1.2779298735269944,68.70208828971715,90.060798308221,6.421379363065152e-05,68.72852233676976
47,0.8274898069016885,95.67953020134229,1.242051841041697,69.8123182659265,90.72164948453609,5.5713509635757295e-05,69.8123182659265
48,0.834228812148107,95.12374161073825,1.2380711032447442,68.72852233676976,90.27227068464182,4.774575140626318e-05,69.8123182659265
49,0.8316196437250047,95.79488255033557,1.2324243457803266,69.68014803066349,90.64234734337828,4.0332358013644026e-05,69.8123182659265
50,0.7967605198789763,96.06753355704699,1.2288069050368133,69.38937351308485,90.1136664023262,3.349364905389033e-05,69.8123182659265
51,0.8082491454462077,95.95218120805369,1.2267496163272178,68.9928628072958,90.16653449643141,2.724836895290806e-05,69.8123182659265
52,0.7939000997767353,96.21434563758389,1.2230326281695525,69.49510970129526,90.19296854348401,2.161363558934976e-05,69.8123182659265
53,0.8020666089633968,96.54991610738254,1.2195046529106888,69.62727993655828,90.53661115516786,1.6604893375699568e-05,69.8123182659265
54,0.8100782759837656,96.32969798657719,1.2223936521499648,69.25720327782183,90.35157282579964,1.2235870926211619e-05,69.8123182659265
55,0.8063662673202937,96.37164429530202,1.2304677718094723,69.36293946603224,90.16653449643141,8.518543427732923e-06,69.8123182659265
56,0.7893544913538351,96.13045302013423,1.2148627845061823,69.31007137192704,90.35157282579964,5.463099816548579e-06,69.8123182659265
57,0.7813098279621777,96.53942953020135,1.205433713516923,70.18239492466297,90.40444091990484,3.077914851215586e-06,70.18239492466297
58,0.7933160715655192,96.70721476510067,1.2130363629729604,69.70658207771609,90.16653449643141,1.3695261579316502e-06,70.18239492466297
59,0.7721104154850813,96.50796979865771,1.2179062069328948,69.70658207771609,90.45730901401005,3.4261631135654184e-07,70.18239492466297
