epoch,train_loss,train_acc,eval_loss,eval_acc,eval_acc_top5,lr,best_eval_acc
0,4.296582100026512,4.730083857442348,3.6820486403365784,10.590094836670179,32.50790305584826,0.0005,10.590094836670179
1,3.8496551858554096,10.835953878406709,3.3727821210915474,16.49104320337197,43.04531085353003,0.0004996573836886434,16.49104320337197
2,3.587224393520715,16.87631027253669,2.9910025963416467,23.076923076923077,56.37513171759747,0.0004986304738420682,23.076923076923077
3,3.313979418272742,22.562893081761008,2.6186982565358266,28.661749209694417,65.59536354056902,0.0004969220851487844,28.661749209694417
4,3.083770466050762,30.08385744234801,2.3701515077162845,35.82718651211802,70.60063224446786,0.0004945369001834514,35.82718651211802
5,3.8316022230144315,30.4769392033543,2.68874349232343,30.874604847207586,65.01580611169652,0.0004914814565722671,35.82718651211802
6,3.427397365839976,33.60849056603774,2.4755554553454995,36.35405690200211,72.86617492096944,0.00048776412907378846,36.35405690200211
7,3.2218049304790215,37.48689727463312,2.46318145672564,39.673340358271865,74.60484720758693,0.00048339510662430044,39.673340358271865
8,3.0586938770562098,41.49633123689728,1.9170720102412684,48.788198103266595,81.71759747102213,0.0004783863644106502,48.788198103266595
9,2.871444322278165,45.2437106918239,2.0313864170060394,49.36775553213909,82.45521601685985,0.00047275163104709196,49.36775553213909
10,2.6785907158061892,48.42767295597484,1.7368729948620651,54.373024236037935,85.14225500526871,0.00046650635094610973,54.373024236037935
11,2.602595826364913,50.90408805031446,1.6704203394743113,55.58482613277134,87.4604847207587,0.00045966764198635603,55.58482613277134
12,2.4396082315304994,54.24528301886792,1.3755681347043045,61.22233930453108,90.463645943098,0.0004522542485937369,61.22233930453108
13,2.350781407746129,57.219601677148844,1.394463535983143,62.01264488935722,88.88303477344573,0.00044428649036424276,62.01264488935722
14,2.2696960842084586,60.534591194968556,1.371848040938503,64.12012644889357,90.56902002107482,0.0004357862063693486,64.12012644889357
15,2.1417498393628582,61.85796645702306,1.2003923754420747,67.70284510010538,91.83350895679663,0.0004267766952966369,67.70284510010538
16,2.010883330049255,64.28197064989517,1.140010201924719,69.5995785036881,92.36037934668072,0.0004172826515897146,69.5995785036881
17,1.9560382138758086,66.53563941299791,1.1079726757440476,69.91570073761855,92.3076923076923,0.0004073300977624594,69.91570073761855
18,1.8843127394122399,69.32651991614256,1.0000792744915905,72.12855637513172,93.30874604847207,0.0003969463130731183,72.12855637513172
19,1.8149375965510275,70.89884696016772,0.9568319293043259,74.07797681770285,94.15173867228661,0.0003861597587537568,74.07797681770285
20,1.7454395968959016,72.95597484276729,0.9185136237561514,74.65753424657534,94.67860906217071,0.000375,74.65753424657534
21,1.676530918610171,73.5587002096436,0.9009337324111303,76.02739726027397,95.41622760800843,0.00036349762493488667,76.02739726027397
22,1.6239355302706704,75.56341719077568,0.7961169992533323,77.23919915700738,95.36354056902002,0.0003516841607689501,77.23919915700738
23,1.5803047523558515,77.00471698113208,0.7925334772835039,79.768177028451,95.10010537407798,0.00033959198738632514,79.768177028451
