epoch,train_loss,train_acc,eval_loss,eval_acc,eval_acc_top5,lr,best_eval_acc
0,4.1909437963972875,4.748376623376624,3.9245337762895205,8.294283036551077,25.820056232427365,0.0005,8.294283036551077
1,3.630861670423896,11.066017316017316,3.8143368035471092,11.34020618556701,33.786316776007496,0.0004996573836886434,11.34020618556701
2,3.326372696723773,15.854978354978355,3.536017924239955,15.83880037488285,43.95501405810684,0.0004986304738420682,15.83880037488285
3,3.006145977354669,21.78030303030303,3.357384332006181,19.915651358950328,47.93814432989691,0.0004969220851487844,19.915651358950328
4,2.7622991516476585,26.542207792207794,3.3815163444333134,21.97750702905342,51.59325210871603,0.0004945369001834514,21.97750702905342
5,3.8270099684273524,25.243506493506494,3.06864988345796,23.008434864104967,53.28022492970947,0.0004914814565722671,23.008434864104967
6,3.3622677431994186,29.748376623376622,3.019000280987133,25.164011246485472,59.27835051546392,0.00048776412907378846,25.164011246485472
7,3.0592997185079565,34.65909090909091,2.8090252648365195,29.42830365510778,63.26148078725398,0.00048339510662430044,29.42830365510778
8,2.8774512118591375,37.391774891774894,2.864428484562746,30.646672914714152,65.27647610121836,0.0004783863644106502,30.646672914714152
9,2.6126521387141506,42.51893939393939,3.253628735466325,32.19306466729147,65.97938144329896,0.00047275163104709196,32.19306466729147
10,2.465809082572078,45.752164502164504,2.526833679258209,36.55107778819119,70.80599812558576,0.00046650635094610973,36.55107778819119
11,2.272155307588123,50.148809523809526,2.643570050806673,39.12839737582006,71.27460168697282,0.00045966764198635603,39.12839737582006
12,2.1064671182529233,55.05952380952381,2.6511879289049687,39.08153701968135,72.77413308341143,0.0004522542485937369,39.12839737582006
13,2.0158696228807624,57.196969696969695,2.7072225542636037,41.37769447047798,73.05529522024368,0.00044428649036424276,41.37769447047798
14,1.8778228563663764,60.99837662337662,2.528589027220664,41.19025304592315,73.05529522024368,0.0004357862063693486,41.37769447047798
15,1.8067178662979242,63.12229437229437,2.297012856493738,45.0796626054358,75.82005623242736,0.0004267766952966369,45.0796626054358
